price,title,location
"₦ 3,500,000","2bdrm Block of Flats in White Hills Estate, Durumi for rent","Abuja, Durumi"
"₦ 450,000","Furnished 2bdrm Apartment in Kajola Estate, Ikorodu for rent","Lagos, Ikorodu"
"₦ 35,000,000",3bdrm Apartment in Ikoyi for rent,"Lagos, Ikoyi"
"₦ 140,000,000",4bdrm Duplex in Port-Harcourt for rent,"Rivers, Port-Harcourt"
"₦ 9,000,000","Furnished 4bdrm Duplex in Rivtaf Golf Estate, Port-Harcourt for rent","Rivers, Port-Harcourt"
"₦ 8,000,000",4bdrm Townhouse / Terrace in Chevron for rent,"Lagos, Lekki"
"₦ 22,500,000","2bdrm Block of Flats in Parkland Estate, Port-Harcourt for rent","Rivers, Port-Harcourt"
"₦ 4,500,000",2bdrm Apartment in Ogombo for rent,"Lagos, Ajah"
"₦ 25,000,000","Furnished 5bdrm Duplex in Royale Garden, Ajah for rent","Lagos, Ajah"
"₦ 300,000",2bdrm Block of Flats in Oluyole for rent,"Oyo, Oluyole"
"₦ 14,000,000","Furnished 4bdrm Duplex in Reef Courts Estate, Port-Harcourt for rent","Rivers, Port-Harcourt"
"₦ 12,000,000","4bdrm Duplex in Naf Harmony Estate, Port-Harcourt for rent","Rivers, Port-Harcourt"
"₦ 25,000,000",4bdrm Duplex in Victoria Island for rent,"Lagos, Victoria Island"
"₦ 2,500,000","3bdrm Block of Flats in Tranquil Estate, Lugbe District for rent","Abuja, Lugbe District"
"₦ 6,000,000","4bdrm Duplex in Ikota, Lekki for rent","Lagos, Lekki"
"₦ 7,000,000","4bdrm Duplex in The Reserve Estate, Port-Harcourt for rent","Rivers, Port-Harcourt"
"₦ 8,000,000","4bdrm Duplex in Reef Courts, Port-Harcourt for rent","Rivers, Port-Harcourt"
"₦ 6,000,000","Furnished 3bdrm Block of Flats in Rivtaf Golf Estate, Port-Harcourt","Rivers, Port-Harcourt"
"₦ 9,000,000","4bdrm Duplex in Reef Courts Estate, Port-Harcourt for rent","Rivers, Port-Harcourt"
"₦ 7,500,000","4bdrm Duplex in Rivtaf Golf Estate, Port-Harcourt for rent","Rivers, Port-Harcourt"
"₦ 60,000,000",4bdrm Duplex in Ikoyi for rent,"Lagos, Ikoyi"
"₦ 4,000,000","Furnished 2bdrm Block of Flats in Rivtaf Golf Estate, Port-Harcourt","Rivers, Port-Harcourt"
"₦ 5,500,000","4bdrm Townhouse / Terrace in Mouna Apartment, Gwarinpa for rent","Abuja, Gwarinpa"
"₦ 1,000,000","3bdrm Block of Flats in Joy Estate, Elewuro, for rent","Oyo, Ibadan"
"₦ 9,000,000",Furnished 2bdrm Apartment in Ologolo for rent,"Lagos, Lekki"
"₦ 500,000","Mini Flat in Independence Layout, Enugu for rent",Enugu / Enugu State
"₦ 1,600,000","2bdrm Apartment in Premier Layout, Enugu for rent",Enugu / Enugu State
"₦ 800,000","1bdrm Apartment in Golf Annex By, Enugu for rent",Enugu / Enugu State
"₦ 1,200,000","2bdrm Apartment in Off Ziks Avenue, Enugu for rent",Enugu / Enugu State
"₦ 1,000,000","3bdrm Apartment in Premier Layout, Enugu for rent",Enugu / Enugu State
"₦ 1,400,000","2bdrm Apartment in Thinkers Corner, Enugu for rent",Enugu / Enugu State
"₦ 500,000","Studio Apartment in Independence Layout, Enugu for rent",Enugu / Enugu State
"₦ 600,000","Mini Flat in Independence Layout, Enugu for rent",Enugu / Enugu State
"₦ 700,000","1bdrm Apartment in Premier Layout, Enugu for rent",Enugu / Enugu State
"₦ 1,500,000","2bdrm Apartment in New Haven Extension, Enugu for rent",Enugu / Enugu State
"₦ 3,000,000","4bdrm Duplex in Centinary City, Enugu for rent",Enugu / Enugu State
"₦ 1,500,000","3bdrm Apartment in Thinkers Corner, Enugu for rent",Enugu / Enugu State
"₦ 1,300,000","2bdrm Apartment in Behind Diamond, Enugu for rent",Enugu / Enugu State
"₦ 150,000","Studio Apartment in Independence Layout, Enugu for rent",Enugu / Enugu State
"₦ 800,000","2bdrm Apartment in Thinkers Corner, Enugu for rent",Enugu / Enugu State
"₦ 3,500,000","4bdrm Duplex in Diamond Estate, Enugu for rent",Enugu / Enugu State
"₦ 2,000,000","3bdrm Bungalow in Centinary City, Enugu for rent",Enugu / Enugu State
"₦ 110,000","Studio Apartment in Bricks Estate,, Enugu for rent",Enugu / Enugu State
"₦ 1,500,000","2bdrm Apartment in Premier Layout, Enugu for rent",Enugu / Enugu State
"₦ 1,300,000","2bdrm Apartment in Thinkers Corner, Enugu for rent",Enugu / Enugu State
"₦ 1,700,000","2bdrm Apartment in Thinkers Corner, Enugu for rent",Enugu / Enugu State
"₦ 6,000,000","8bdrm Duplex in Gra Okefia Ososgbo, Osogbo for rent",Osogbo
"₦ 500,000",Executive 4 Bedroom Duplex at Otaefun Area Oshogbo,Osogbo
"₦ 500,000","Furnished 3bdrm Bungalow in Behind Capital Area, Osogbo for Rent",Osogbo
"₦ 400,000",Furnished 3bdrm Bungalow in Osogbo for Rent,Osogbo
"₦ 500,000","Furnished 3bdrm Bungalow in Agunbelewo Area, Osogbo for Rent",Osogbo
"₦ 700,000","Furnished 3bdrm Bungalow in Ayekale Area Oshogbo, Osogbo for rent",Osogbo
"₦ 1,000,000","Furnished 3bdrm Bungalow in Oroki Housing, Osogbo for rent",Osogbo
"₦ 800,000","Furnished 3bdrm Bungalow in Kelebe Area Oshogbo, Osogbo for rent",Osogbo
"₦ 700,000","Furnished 3bdrm Duplex in Ebunoluwa Area, Osogbo for Rent",Osogbo
"₦ 400,000","Furnished 4bdrm Bungalow in Halleluyah Estate, Osogbo for Rent",Osogbo
"₦ 750,000","Furnished 3bdrm Bungalow in Adetunji Estate Area, Osogbo for Rent",Osogbo
"₦ 300,000","Furnished 3bdrm Bungalow in Abidogun Estates, Osogbo for Rent",Osogbo
"₦ 500,000,000","Furnished 3bdrm Block of Flats in Estate Area Oshogbo, Osogbo for Rent",Osogbo
"₦ 1,200,000","Furnished 4bdrm Bungalow in Oroki Estate Area, Osogbo for rent",Osogbo
"₦ 2,000,000","Furnished 4bdrm Duplex in Elizabeth Estate, Osogbo for Rent",Osogbo
"₦ 3,000,000","Furnished 3bdrm Bungalow in Oroki Phase 1 Area, Osogbo for rent",Osogbo
"₦ 400,000","Furnished 3bdrm Bungalow in Ayekale Area Oshogbo, Osogbo for Rent",Osogbo
"₦ 400,000","Furnished 3bdrm Bungalow in Kobo Area Oshogbo, Osogbo for Rent",Osogbo
"₦ 600,000","Furnished 2bdrm Bungalow in Behind Legacy Hotel, Osogbo for rent",Osogbo
"₦ 700,000","Furnished 3bdrm Bungalow in Ogooluwa Area, Osogbo for rent",Osogbo
"₦ 2,500,000","Furnished 3bdrm Duplex in Gra Okefia Area, Osogbo for rent",Osogbo
"₦ 1,000,000","Furnished 3bdrm Block of Flats in Behind Cbn..Abere, Osogbo for rent",Osogbo
"₦ 2,000,000","Furnished 4bdrm Bungalow in Fedral Housing, Osogbo for Rent",Osogbo
"₦ 1,000,000","2bdrm Condo in Heritage Estate, Alimosho for rent","Lagos, Alimosho"
"₦ 8,500,000",Furnished 2bdrm Condo in 1004 Estates for rent,"Lagos, Victoria Island"
"₦ 750,000","Furnished 2bdrm Condo in Otokuku Close To, Warri for Rent","Delta, Warri"
"₦ 420,000",Furnished 2bdrm Condo in Makurdi Serviced for rent,"Benue, Makurdi"
"₦ 57,000,000",Furnished 3bdrm Block of Flats in Gérard Road Ikoyi. for rent,"Lagos, Ikoyi"
"₦ 30,000,000","Furnished 2bdrm Apartment in Periwinkle Estate, Lekki Phase 1 for rent","Lagos, Lekki"
"₦ 35,000,000","Furnished 1bdrm Condo in Swimming Pool Gym, Utako for rent","Abuja, Utako"
"₦ 900,000","1bdrm Condo in Chevron, Lekki for rent","Lagos, Lekki"
"₦ 16,000,000",Furnished 2bdrm Condo in Bluewaters Lekki for rent,"Lagos, Lekki"
"₦ 7,000,000","4bdrm Condo in Ikota, Lekki for rent","Lagos, Lekki"
"₦ 6,500,000","Furnished 1bdrm Condo in Transformer Junction, Osogbo for rent","Osun, Osogbo"
"₦ 29,999 per day",Brandnew 1bedroom Pallor for Shortlet at Diplomatic Zone FCT,"Abuja, Katampe"
"₦ 500,000 per annum","1bdrm Bungalow in Opposite Easy Way, Iba / Ojo for rent","Lagos, Ojo"
"₦ 83,000,000","4bdrm Duplex in Gold Town Estate, Port-Harcourt for sale","Rivers, Port-Harcourt"
"₦ 35,000,000","Furnished 3bdrm Bungalow in Urban Living, Epe for sale","Lagos, Epe"
"₦ 6,000,000 per Plot",River Front Gardens Estate:Plots of Land in Chokocho,"Rivers, Port-Harcourt"
"₦ 6,000,000 Outright Price",Bliss Estate Eneka Portharcourt,"Rivers, Port-Harcourt"
"₦ 77,000,000","Furnished 4bdrm Bungalow in Airforce Estate, Ibadan for sale","Oyo, Ibadan"
"₦ 12,500,000 per Plot",Flourish Estate:Estate Plots Of Land For Sale In Rukpokwu,"Rivers, Port-Harcourt"
"₦ 15,000,000 Outright Price",Royal Walls Estate Eneka Portharcourt,"Rivers, Obio-Akpor"
"₦ 50,000,000","3bdrm Bungalow in Dantata Estate, Kubwa for sale","Abuja, Kubwa"
"₦ 160,000,000",Furnished 4bdrm Duplex in Ikota Estate for sale,"Lagos, Lekki"
"₦ 20,000,000 Outright Price",Newtown Haven Igwuruta Portharcourt Opp Salvation Ministry,"Rivers, Port-Harcourt"
"₦ 45,000,000",Rehoboth Park and Garden Phase 2,"Lagos, Lekki"
"₦ 12,500,000 Outright Price",Flourish Estate Rukpokwu Portharcourt,"Rivers, Port-Harcourt"
"₦ 30,000,000 Outright Price",Megaone MEGAONE LAGOS Lekki-Epe Expressway Lagos,"Lagos, Ajah"
"₦ 3,500,000",City Park And Garden Asejire Ibadan,"Oyo, Ibadan"
"₦ 80,000,000 Outright Price",Main F01 Residential Plot,"Abuja, Kubwa"
